날짜,9am 기온 (°C)
41640,24.7
41641,25.2
41642,24.5
41643,24.7
41644,20.6
41645,18.1
41646,22.5
41647,23.9
41648,22.4
41649,21.8
41650,21.6
41651,24.1
41652,24.9
41653,25.1
41654,24.2
41655,25.3
41656,25.6
41657,22.8
41658,21.9
41659,24.8
41660,23.5
41661,22.3
41662,21.1
41663,18.3
41664,20.9
41665,25.3
41666,24.2
41667,22.9
41668,22.2
41669,27.1
41670,24.4
41671,19.7
41672,21.7
41673,25.1
41674,23.2
41675,21.7
41676,23
41677,22
41678,21.1
41679,22.2
41680,23.8
41681,20.6
41682,19
41683,24.7
41684,21.5
41685,21.6
41686,25.1
41687,23.5
41688,22.4
41689,20.8
41690,24.6
41691,24.3
41692,19.6
41693,19.2
41694,20.6
41695,25.1
41696,24.9
41697,24.6
41698,23.6
41699,19.6
41700,22.4
41701,20.6
41702,18.7
41703,21.2
41704,21.2
41705,19.8
41706,20.3
41707,23
41708,23.6
41709,21.7
41710,25.5
41711,23.9
41712,19.9
41713,19.4
41714,24.2
41715,22.5
41716,22.7
41717,19.6
41718,22.1
41719,22.8
41720,25.6
41721,22.8
41722,23.8
41723,23
41724,22.3
41725,21.9
41726,20.9
41727,21.7
41728,19.3
41729,19.6
41730,18.6
41731,18.4
41732,17.4
41733,17.9
41734,18.2
41735,17.7
41736,19.3
41737,17.6
41738,15.8
41739,15.9
41740,16.3
41741,19.2
41742,16.7
41743,17.2
41744,17.7
41745,17.3
41746,17.2
41747,17.8
41748,19.1
41749,24.1
41750,20.2
41751,20.4
41752,19.6
41753,16.9
41754,19.2
41755,20.6
41756,20.4
41757,21.3
41758,18.9
41759,20.5
41760,15.2
41761,15.9
41762,15.3
41763,19.3
41764,19.4
41765,16.3
41766,17.2
41767,17.7
41768,16.5
41769,14.9
41770,17.5
41771,16.2
41772,15.8
41773,14.8
41774,14.3
41775,14.6
41776,13.7
41777,14.8
41778,15.6
41779,16.7
41780,16.7
41781,14.5
41782,13.9
41783,14.2
41784,13.9
41785,14.6
41786,12.8
41787,15
41788,12.7
41789,16.1
41790,14.7
41791,11.4
41792,12.1
41793,15.8
41794,12.1
41795,15.1
41796,14.8
41797,12.1
41798,13.5
41799,11.9
41800,11.8
41801,15.5
41802,12
41803,12.5
41804,13.5
41805,11.3
41806,13
41807,14.3
41808,11.8
41809,12.1
41810,11.9
41811,13
41812,10.4
41813,11.9
41814,12.2
41815,15.3
41816,15.3
41817,13.6
41818,13.2
41819,14.5
41820,17
41821,17.7
41822,17.3
41823,14.9
41824,11.9
41825,11.9
41826,13
41827,11.5
41828,10.9
41829,10.7
41830,10.8
41831,9.9
41832,11.2
41833,10.1
41834,9.6
41835,13.1
41836,13.2
41837,11.5
41838,9.2
41839,8.2
41840,8.9
41841,11.8
41842,11.9
41843,11.9
41844,9
41845,10.7
41846,11.6
41847,10.1
41848,9.3
41849,9.1
41850,9.6
41851,10.1
41852,14.8
41853,12.5
41854,12.1
41855,15.3
41856,15.3
41857,13.6
41858,13.7
41859,13
41860,11.8
41861,13.2
41862,11.7
41863,12.5
41864,15.5
41865,13.8
41866,14.4
41867,10.3
41868,10.5
41869,9.5
41870,10.5
41871,8.9
41872,10.3
41873,12.7
41874,10.2
41875,10.9
41876,11.4
41877,9.7
41878,10
41879,9.9
41880,8.4
41881,9.6
41882,16.8
41883,23.7
41884,25.2
41885,20.4
41886,18.8
41887,18.8
41888,20
41889,18.5
41890,17.2
41891,16.9
41892,15.4
41893,15.4
41894,14.7
41895,15.6
41896,17.7
41897,18.6
41898,17.7
41899,17.3
41900,14.4
41901,14.7
41902,18.1
41903,14.8
41904,19.3
41905,12.2
41906,12.5
41907,12.3
41908,13.2
41909,13.4
41910,13.1
41911,15.8
41912,14.6
41913,22.4
41914,21.1
41915,22.6
41916,21.7
41917,23.2
41918,23.5
41919,21
41920,22
41921,19.7
41922,17.8
41923,17.4
41924,19.8
41925,18.6
41926,15.3
41927,15.2
41928,14.3
41929,11.6
41930,14.9
41931,22.5
41932,20.3
41933,19.9
41934,20.2
41935,18.6
41936,16.7
41937,24.1
41938,19.7
41939,18.4
41940,19.2
41941,19
41942,17.6
41943,18.2
41944,23.8
41945,20.9
41946,20
41947,19.8
41948,21.5
41949,24
41950,23.5
41951,24.9
41952,23.6
41953,31
41954,24.8
41955,21.9
41956,22.3
41957,21.3
41958,18.2
41959,20.1
41960,23.3
41961,20
41962,18.8
41963,21.3
41964,20.7
41965,23.1
41966,21.4
41967,20.6
41968,20.1
41969,20.7
41970,20.4
41971,17
41972,16.8
41973,29.1
41974,22.2
41975,23.4
41976,23.6
41977,20.2
41978,20.6
41979,24.1
41980,23.2
41981,22.4
41982,21.1
41983,24.8
41984,22.5
41985,20.7
41986,21.2
41987,19.1
41988,21.2
41989,22.1
41990,24.3
41991,20
41992,20.6
41993,20.1
41994,21.7
41995,22.5
41996,22.5
41997,22
41998,24.5
41999,23.4
42000,24.3
42001,22.7
42002,26.2
42003,23.7
42004,25.1
42005,21.4
42006,19.6
42007,19
42008,17.9
42009,19.2
42010,20.4
42011,25
42012,26.7
42013,25.8
42014,26.4
42015,24.4
42016,20.3
42017,21.7
42018,24.5
42019,27
42020,24.7
42021,26.1
42022,28.6
42023,21.2
42024,22.9
42025,21.1
42026,24.3
42027,25.7
42028,25.8
42029,27.1
42030,24.4
42031,21.8
42032,26.9
42033,26.3
42034,23.2
42035,25.2
42036,24.1
42037,23.8
42038,22.9
42039,23.8
42040,23
42041,26.4
42042,25.7
42043,25.4
42044,22.4
42045,23.1
42046,22.1
42047,26.1
42048,25.8
42049,24
42050,23.7
42051,23.3
42052,20.3
42053,20.5
42054,21.9
42055,20.1
42056,20.1
42057,19.6
42058,22
